observation_id,barcode,site_name,sample_date,water_type,cbt_ecoli_cfu,cbt_censored,sensor_mon2_raw,sensor_tof_raw,water_temp_c,mon2c_baseline_subtracted,mon2c_normalized,tof_normalized,predicted_log10_cfu_insample,predicted_log10_cfu_loocv,loocv_agreement,who_risk_true,who_risk_predicted
142,50065,Isiolo.Isiolo.Ngaremara.Kona (Ngalabilabia).KonaBorehole,2026-06-09 06:54:00,Source (untreated),0,FALSE,285.0,41.000,31.56,285.00,-19.00,2.000,-0.0563,-0.0578,TRUE,Conformity,Conformity
143,50053,Isiolo.Isiolo.Ngaremara.Kona (Ngalabilabia).KonaBorehole,2026-06-09 06:54:00,Source (untreated),0,FALSE,646.0,40.000,29.39,646.00,-152.50,7.000,-0.3902,-0.4247,TRUE,Conformity,Conformity
144,50065,Isiolo.Isiolo.Ngaremara.Kona (Ngalabilabia).KonaBorehole,2026-06-09 06:56:00,Source (untreated),0,FALSE,285.0,41.000,31.56,285.00,-19.00,2.000,-0.0563,-0.0578,TRUE,Conformity,Conformity
145,50053,Isiolo.Isiolo.Ngaremara.Kona (Ngalabilabia).KonaBorehole,2026-06-09 06:56:00,Source (untreated),0,FALSE,646.0,40.000,29.39,646.00,-152.50,7.000,-0.3902,-0.4247,TRUE,Conformity,Conformity
146,50065,Isiolo.Isiolo.Ngaremara.Kona (Ngalabilabia).KonaBorehole,2026-06-09 06:59:00,Source (untreated),0,FALSE,285.0,41.000,31.56,285.00,-19.00,2.000,-0.0563,-0.0578,TRUE,Conformity,Conformity
147,50053,Isiolo.Isiolo.Ngaremara.Kona (Ngalabilabia).KonaBorehole,2026-06-09 06:59:00,Source (untreated),0,FALSE,646.0,40.000,29.39,646.00,-152.50,7.000,-0.3902,-0.4247,TRUE,Conformity,Conformity
148,50065,Isiolo.Isiolo.Ngaremara.Kona (Ngalabilabia).KonaBorehole,2026-06-09 07:01:00,Source (untreated),0,FALSE,285.0,41.000,31.56,285.00,-19.00,2.000,-0.0563,-0.0578,TRUE,Conformity,Conformity
149,50053,Isiolo.Isiolo.Ngaremara.Kona (Ngalabilabia).KonaBorehole,2026-06-09 07:01:00,Source (untreated),0,FALSE,646.0,40.000,29.39,646.00,-152.50,7.000,-0.3902,-0.4247,TRUE,Conformity,Conformity
150,50065,Isiolo.Isiolo.Ngaremara.Kona (Ngalabilabia).KonaBorehole,2026-06-09 07:04:00,Source (untreated),0,FALSE,285.0,41.000,31.56,285.00,-19.00,2.000,-0.0563,-0.0578,TRUE,Conformity,Conformity
151,50053,Isiolo.Isiolo.Ngaremara.Kona (Ngalabilabia).KonaBorehole,2026-06-09 07:04:00,Source (untreated),0,FALSE,646.0,40.000,29.39,646.00,-152.50,7.000,-0.3902,-0.4247,TRUE,Conformity,Conformity
